UF,População,Média geométrica do pico de infecção das temporadas regulares,região de baixa atividade típica,limiar pré-epidêmico,intensidade alta,intensidade muito alta,SE típica do início do surto,"SE típica do início do surto - IC inferior (2,5%)","SE típica do início do surto - IC superior (97,5%)",duração típica do surto,"duração típica do surto - IC inferior (2,5%)","duração típica do surto - IC superior (97,5%)",ano,Unidade da Federação,Tipo
11,1805788,0.895588324680478,0,0.19714164009620158,0.9715918890615427,1.327510699928275,12.0,3.0,18.0,8.0,5.0,10.0,2017,Rondônia,Estado
12,829619,0.9682103846423872,0,0.6141512839147326,1.5068526229993298,2.071746871743842,16.0,4.0,33.0,8.0,2.0,14.0,2017,Acre,Estado
13,4063614,0.12524102816428015,0,0.04064307983794127,0.16711542008111446,0.21099603037220693,12.0,4.0,37.0,11.0,6.0,14.0,2017,Amazonas,Estado
14,522636,0.9851347934717416,0,0.41068410065568073,1.161622167024186,1.6838525739193582,34.0,13.0,37.0,4.0,1.0,8.0,2017,Roraima,Estado
15,8366628,0.2558504896958729,0,0.07845572447225536,0.48262459648051825,0.906651937236233,13.0,11.0,19.0,10.0,6.0,12.0,2017,Pará,Estado
16,797722,0.5393366867992978,1,0.06267847696315258,0.6272340220362229,0.8547884792690605,,,,,,,2017,Amapá,Estado
17,1550194,0.20586901037023228,0,0.14252045849362127,0.24397911863800847,0.31174105462706203,22.0,16.0,46.0,7.0,1.0,19.0,2017,Tocantins,Estado
21,7000229,0.07184068542390121,1,0.007142623477031966,0.07863974275753205,0.10213674263752859,,,,,,,2017,Maranhão,Estado
22,3218485,0.15051622420972013,0,0.1226795741895714,0.2074541033011713,0.2745083746569663,12.0,5.0,14.0,8.0,6.0,10.0,2017,Piauí,Estado
23,9021232,0.12297403193169698,0,0.03485471661647318,0.17544295532251608,0.22470576240390483,12.0,2.0,47.0,9.0,5.0,15.0,2017,Ceará,Estado
24,3507003,0.36256153065782537,0,0.15615515267291827,0.42776073392233316,0.6520176035049299,16.0,1.0,21.0,10.0,4.0,11.0,2017,Rio Grande do Norte,Estado
25,4025558,0.04891564460999635,0,0.034826977739058046,0.05437301656206661,0.06945979947988268,26.0,9.0,44.0,6.0,1.0,11.0,2017,Paraíba,Estado
26,9473707,0.5930512627042774,0,0.2956670282842417,0.6613226862795593,0.7859588459688411,16.0,15.0,19.0,10.0,1.0,13.0,2017,Pernambuco,Estado
27,3375382,0.07815332241558776,1,0.014813138187025943,0.10880004402636523,0.14011169742917318,,,,,,,2017,Alagoas,Estado
28,2288116,0.054500868523484076,1,0.021852038970052216,0.0835166992965839,0.10420462280847231,,,,,,,2017,Sergipe,Estado
29,15344447,0.114106580744376,0,0.05530547525298235,0.11613361867856635,0.19064922115029134,17.0,8.0,30.0,9.0,8.0,15.0,2017,Bahia,Estado
31,21119536,0.4277904100301991,0,0.36956211899787356,0.8430265464671776,1.084956625084075,23.0,14.0,27.0,9.0,7.0,13.0,2017,Minas Gerais,Estado
32,4016356,0.1135507509679895,0,0.07287067752627914,0.17925376353019118,0.23170189687926324,24.0,11.0,26.0,11.0,3.0,17.0,2017,Espírito Santo,Estado
33,16718956,0.13695926061495337,0,0.07507095551239974,0.18713371973536683,0.2652989463594711,20.0,14.0,23.0,13.0,7.0,14.0,2017,Rio de Janeiro,Estado
35,45094866,0.40778937697767603,0,0.17586129833049186,0.4433006336339375,0.5403687845126499,16.0,10.0,24.0,12.0,11.0,16.0,2017,São Paulo,Estado
41,11320892,1.5163292205799623,0,0.5228982475581684,2.17747593026946,3.1508748829208866,18.0,9.0,25.0,14.0,8.0,16.0,2017,Paraná,Estado
42,7001161,0.455734042458618,0,0.3816012512326149,0.6327373929927295,0.7724054480153741,19.0,17.0,29.0,12.0,7.0,16.0,2017,Santa Catarina,Estado
43,11322895,1.3592311364128224,0,0.33261175521410963,1.8047298431302798,2.5761627638005447,20.0,14.0,24.0,14.0,10.0,16.0,2017,Rio Grande do Sul,Estado
50,2713147,0.40830763468039705,0,0.5573066974150666,1.1453867833983984,1.6085207184593253,20.0,19.0,21.0,12.0,8.0,16.0,2017,Mato Grosso do Sul,Estado
51,3344544,0.15916689127991646,0,0.07529413767538187,0.2503147171843607,0.33078055200563905,17.0,8.0,23.0,8.0,7.0,12.0,2017,Mato Grosso,Estado
52,6778772,0.34194874581729756,0,0.1939824228509491,0.37409222047510143,0.4847547090949514,17.0,10.0,42.0,7.0,3.0,10.0,2017,Goiás,Estado
53,3039444,0.3956809327863776,0,0.23780542143709493,0.5697769284027697,0.8703932703118386,14.0,9.0,33.0,11.0,10.0,14.0,2017,Distrito Federal,Estado
BR,207660929,0.391777281069772,0,0.16668663171512338,0.5704015075894333,0.7927300712562628,18.0,9.0,23.0,11.0,10.0,16.0,2017,Brasil,País
RegC,27644815,0.2391038729536368,0,0.09470930602770528,0.24877049218470307,0.3245968793152154,14.0,10.0,24.0,12.0,10.0,18.0,2017,Regional Centro,Regional
RegL,67770757,0.10475001201600558,0,0.08379857492734152,0.14741162849428477,0.1669488838800616,18.0,12.0,22.0,13.0,9.0,14.0,2017,Regional Leste,Regional
RegN,16386007,0.3050017816799857,0,0.09920197210305746,0.5649485038556737,1.0478909423314864,12.0,8.0,17.0,10.0,9.0,13.0,2017,Regional Norte,Regional
RegS,95859350,0.5308435720662237,0,0.2756442490471239,1.0707723913846638,1.5829460724429858,18.0,10.0,23.0,11.0,11.0,16.0,2017,Regional Sul,Regional
