sg_uf,no_cidade,co_municipio_ibge,co_regiao,no_regiao
AM,Alvarães,130002,13008,Triângulo
AM,Amaturá,130006,13009,Alto Solimões
AM,Anamã,130008,13002,Rio Negro e Solimões
AM,Anori,130010,13002,Rio Negro e Solimões
AM,Apuí,130014,13003,Rio Madeira
AM,Atalaia do Norte,130020,13009,Alto Solimões
AM,Autazes,130030,13001,Entorno de Manaus e Alto Rio Negro
AM,Barcelos,130040,13001,Entorno de Manaus e Alto Rio Negro
AM,Barreirinha,130050,13005,Baixo Amazonas
AM,Benjamin Constant,130060,13009,Alto Solimões
AM,Beruri,130063,13002,Rio Negro e Solimões
AM,Boa Vista do Ramos,130068,13005,Baixo Amazonas
AM,Boca do Acre,130070,13006,Regional Purus
AM,Borba,130080,13003,Rio Madeira
AM,Caapiranga,130083,13002,Rio Negro e Solimões
AM,Canutama,130090,13006,Regional Purus
AM,Carauari,130100,13007,Regional Juruá
AM,Careiro,130110,13001,Entorno de Manaus e Alto Rio Negro
AM,Careiro da Várzea,130115,13001,Entorno de Manaus e Alto Rio Negro
AM,Coari,130120,13002,Rio Negro e Solimões
AM,Codajás,130130,13002,Rio Negro e Solimões
AM,Eirunepé,130140,13007,Regional Juruá
AM,Envira,130150,13007,Regional Juruá
AM,Fonte Boa,130160,13009,Alto Solimões
AM,Guajará,130165,13007,Regional Juruá
AM,Humaitá,130170,13003,Rio Madeira
AM,Ipixuna,130180,13007,Regional Juruá
AM,Iranduba,130185,13001,Entorno de Manaus e Alto Rio Negro
AM,Itacoatiara,130190,13004,Médio Amazonas
AM,Itamarati,130195,13007,Regional Juruá
AM,Itapiranga,130200,13004,Médio Amazonas
AM,Japurá,130210,13008,Triângulo
AM,Juruá,130220,13008,Triângulo
AM,Jutaí,130230,13009,Alto Solimões
AM,Lábrea,130240,13006,Regional Purus
AM,Manacapuru,130250,13002,Rio Negro e Solimões
AM,Manaquiri,130255,13001,Entorno de Manaus e Alto Rio Negro
AM,Manaus,130260,13000,Manaus
AM,Manicoré,130270,13003,Rio Madeira
AM,Maraã,130280,13008,Triângulo
AM,Maués,130290,13005,Baixo Amazonas
AM,Nhamundá,130300,13005,Baixo Amazonas
AM,Nova Olinda do Norte,130310,13001,Entorno de Manaus e Alto Rio Negro
AM,Novo Airão,130320,13002,Rio Negro e Solimões
AM,Novo Aripuanã,130330,13003,Rio Madeira
AM,Parintins,130340,13005,Baixo Amazonas
AM,Pauini,130350,13006,Regional Purus
AM,Presidente Figueiredo,130353,13001,Entorno de Manaus e Alto Rio Negro
AM,Rio Preto da Eva,130356,13001,Entorno de Manaus e Alto Rio Negro
AM,Santa Isabel do Rio Negro,130360,13001,Entorno de Manaus e Alto Rio Negro
AM,Santo Antônio do Içá,130370,13009,Alto Solimões
AM,São Gabriel da Cachoeira,130380,13001,Entorno de Manaus e Alto Rio Negro
AM,São Paulo de Olivença,130390,13009,Alto Solimões
AM,São Sebastião do Uatumã,130395,13004,Médio Amazonas
AM,Silves,130400,13004,Médio Amazonas
AM,Tabatinga,130406,13009,Alto Solimões
AM,Tapauá,130410,13006,Regional Purus
AM,Tefé,130420,13008,Triângulo
AM,Tonantins,130423,13009,Alto Solimões
AM,Uarini,130426,13008,Triângulo
AM,Urucará,130430,13004,Médio Amazonas
AM,Urucurituba,130440,13004,Médio Amazonas
