"UF","Unidade da Federação","territory_id","sigla"
11,"Rondônia",11,"RO"
12,"Acre",12,"AC"
13,"Amazonas",13,"AM"
14,"Roraima",14,"RR"
15,"Pará",15,"PA"
16,"Amapá",16,"AP"
17,"Tocantins",17,"TO"
21,"Maranhão",21,"MA"
22,"Piauí",22,"PI"
23,"Ceará",23,"CE"
24,"Rio Grande do Norte",24,"RN"
25,"Paraíba",25,"PB"
26,"Pernambuco",26,"PE"
27,"Alagoas",27,"AL"
28,"Sergipe",28,"SE"
29,"Bahia",29,"BA"
31,"Minas Gerais",31,"MG"
32,"Espírito Santo",32,"ES"
33,"Rio de Janeiro",33,"RJ"
35,"São Paulo",35,"SP"
41,"Paraná",41,"PR"
42,"Santa Catarina",42,"SC"
43,"Rio Grande do Sul",43,"RS"
50,"Mato Grosso do Sul",50,"MS"
51,"Mato Grosso",51,"MT"
52,"Goiás",52,"GO"
53,"Distrito Federal",53,"DF"
"BR","Brasil",0,"BR"
"CO","Região Centro-oeste",5,"CO"
"N","Região Norte",1,"N"
"NE","Região Nordeste",2,"NE"
"RegC","Regional Centro",1003,"Centro"
"RegL","Regional Leste",1002,"Leste"
"RegN","Regional Norte",1001,"Norte"
"RegS","Regional Sul",1004,"Sul"
"S","Região Sul",4,"S"
"SE","Região Sudeste",3,"SE"
